Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,"Three cases: CVA, left facial nerve palsy, and myelitis all following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34507266/",https://pubmed.ncbi.nlm.nih.gov/34507266 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8421080/,Neurological symptoms and neuroimaging alterations related with COVID-19 vaccine: Cause or coincidence?,"Corrêa, Diogo Goulart; Cañete, Luis Alcides Quevedo; Dos Santos, Gutemberg Augusto Cruz; de Oliveira, Romulo Varella; Brandão, Carlos Otávio; da Cruz, Luiz Celso Hygino Jr","Department of Radiology, Clínica de Diagnóstico por Imagem (CDPI), Avenida das Américas, 4666, 302A, 303, 307, 325, 326, Barra da Tijuca, Rio de Janeiro, RJ Zip Code: 2640-102, Brazil; Department of Radiology, Federal Fluminense University, Rua Marquês de Paraná, 303, Centro, Niterói, RJ Zip code: 24070-035, Brazil. Electronic address: diogogoulartcorrea@yahoo.com.br.; Department of Radiology, Clínica de Diagnóstico por Imagem (CDPI), Avenida das Américas, 4666, 302A, 303, 307, 325, 326, Barra da Tijuca, Rio de Janeiro, RJ Zip Code: 2640-102, Brazil.; Department of Neurology, Estácio de Sá University, Avenida das Américas, 700, bloco 8, loja 218, Barra da Tijuca, Rio de Janeiro, RJ Zip code: 22640-100, Brazil.; Department of Radiology, Clínica de Diagnóstico por Imagem (CDPI), Avenida das Américas, 4666, 302A, 303, 307, 325, 326, Barra da Tijuca, Rio de Janeiro, RJ Zip Code: 2640-102, Brazil.; Department of Neurology, Neurolife Laboratory, Praia do Flamengo, 66, Bloco B, sala 620, Flamengo, Rio de Janeiro, RJ Zip Code: 22210-903, Brazil.; Department of Radiology, Clínica de Diagnóstico por Imagem (CDPI), Avenida das Américas, 4666, 302A, 303, 307, 325, 326, Barra da Tijuca, Rio de Janeiro, RJ Zip Code: 2640-102, Brazil.",34507266,PMC8421080,2021-12-01 00:00:00,*COVID-19; COVID-19 Vaccines; ChAdOx1 nCoV-19; Humans; Neuroimaging; SARS-CoV-2; *Vaccines/adverse effects,"Although vaccination against Coronavirus disease-2019 (COVID-19) is still occurring, several adverse effects temporally related to these vaccines are already being reported, even if through isolated case reports. In the present study, we describe the lesions seen on magnetic resonance imaging (MRI) of three patients who developed neurological symptoms after receiving the ChAdOX1 nCoV-19 vaccine (Oxford/AstraZeneca). The first patient presented with an ischemic stroke in the posterior limb of the left internal capsule, two days after vaccination. The second patient presented with a left facial nerve palsy, seven days after vaccination. The third patient presented with myelitis, eight days after receiving the vaccine. All patients presented the symptoms after the first dose of the vaccine and did not have a history of previous COVID-19. The real incidence of these types of complications is not known yet, but it is important to consider the possibility of COVID-19 vaccine complications, in patients with a recent history of vaccination and recent development of neurological symptoms, even though this association is only casual. Longitudinal studies are necessary to further analyze the incidence of the adverse effects of each vaccine against",Vaccine Publication

Pulmonary,Pulmonary - General,Pulmonary,Pulmonary:
,,Vaccine induced interstitial lung disease in 86yoM after mRNA vaccine: https://pubmed.ncbi.nlm.nih.gov/34362838/,https://pubmed.ncbi.nlm.nih.gov/34362838 ,COVID-19 vaccine-related interstitial lung disease: a case study.,"Park, Ji Young; Kim, Joo-Hee; Lee, In Jae; Kim, Hwan Il; Park, Sunghoon; Hwang, Yong Il; Jang, Seung Hun; Jung, Ki-Suck","Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea evan007@naver.com.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.; Department of Radiology, Hallym University College of Medicine, Anyang, South Korea.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.; Division of Pulmonary, Allergy and Critical Care Medicine, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, South Korea.",34362838,,2022-01-01 00:00:00,"*COVID-19; COVID-19 Vaccines; Humans; *Lung Diseases, Interstitial/chemically induced; SARS-CoV-2",,Vaccine Publication
,,Vaccine induced interstitial lung disease: https://pubmed.ncbi.nlm.nih.gov/34510014/,https://pubmed.ncbi.nlm.nih.gov/34510014 ,Vaccine-induced interstitial lung disease: a rare reaction to COVID-19 vaccination.,"DeDent, Alison M; Farrand, Erica","Department of Medicine, Division of Pulmonary and Critical Care Medicine, University of California San Francisco, San Francisco, California, USA alison.dedent@ucsf.edu.; Department of Medicine, Division of Pulmonary and Critical Care Medicine, University of California San Francisco, San Francisco, California, USA.",34510014,,2022-01-01 00:00:00,"*COVID-19; COVID-19 Vaccines; Humans; *Lung Diseases, Interstitial/chemically induced; SARS-CoV-2; Vaccination/adverse effects; *Vaccines",,Vaccine Publication
,,Delayed hypersensitivity to Pfizer presenting with pneumonitis and rash: https://pubmed.ncbi.nlm.nih.gov/34813953/,https://pubmed.ncbi.nlm.nih.gov/34813953 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8605811/,Delayed hypersensitivity to the Comirnaty coronavirus disease 2019 vaccine presenting with pneumonitis and rash.,"Stoyanov, Alex; Thompson, Graeme; Lee, Monique; Katelaris, Connie","Department of Clinical Immunology, Campbelltown Hospital, NSW, Australia. Electronic address: alex.stoyanov@health.nsw.gov.au.; Department of Respiratory Medicine, Campbelltown Hospital, NSW, Australia; Western Sydney University, Campbelltown Campus, NSW, Australia.; Department of Clinical Immunology, Campbelltown Hospital, NSW, Australia.; Department of Clinical Immunology, Campbelltown Hospital, NSW, Australia; Western Sydney University, Campbelltown Campus, NSW, Australia.",34813953,PMC8605811,2022-03-01 00:00:00,"*Alveolitis, Extrinsic Allergic/diagnosis; *COVID-19; COVID-19 Vaccines/adverse effects; *Exanthema; Humans; *Hypersensitivity, Delayed/diagnosis; *Pneumonia; SARS-CoV-2",,Vaccine Publication
,,2 cases of eosinophilic pneumonia following vaccination: https://pubmed.ncbi.nlm.nih.gov/34803208/,https://pubmed.ncbi.nlm.nih.gov/34803208 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8594061/,Eosinophilic Pneumonia Associated to SARS-CoV-2 Vaccine.,"Costa E Silva, Margarida; Sá Marques, Marta; João, David; Campainha, Sérgio","Pulmonology Department, Centro Hospitalar Vila Nova de Gaia e Espinho, Portugal.; Pulmonology Department, Centro Hospitalar Vila Nova de Gaia e Espinho, Portugal.; Pathology Department, Centro Hospitalar Vila Nova de Gaia e Espinho, Portugal.; Pulmonology Department, Centro Hospitalar Vila Nova de Gaia e Espinho, Portugal.",34803208,PMC8594061,2022-04-01 00:00:00,*COVID-19/prevention & control; *COVID-19 Vaccines/adverse effects; Humans; *Pulmonary Eosinophilia/chemically induced; SARS-CoV-2,,Vaccine Publication
,,Interstitial lung disease after COVID-19 vaccination may be more common in Asians: https://pubmed.ncbi.nlm.nih.gov/34850213/,https://pubmed.ncbi.nlm.nih.gov/34850213 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8690204/,Interstitial lung disease after COVID-19 vaccination may be more common in Asians.,"Kono, A; Hawke, P; Yoshioka, R","Department of Emergency Medicine, Shizuoka General Hospital, 4-27-1 Kitaando, Aoi Ward, Shizuoka, 420-0881, Japan.; School of Pharmaceutical Sciences, University of Shizuoka, 52-1 Yada, Suruga Ward, Shizuoka, 422-8526, Japan.; Department of Emergency Medicine, Shizuoka General Hospital, 4-27-1 Kitaando, Aoi Ward, Shizuoka, 420-0881, Japan.",34850213,PMC8690204,2021-11-26 00:00:00,,,Vaccine Publication
,,Acute eosinophilic pneumonia in a 37yo M following Pfizer vaccination: https://pubmed.ncbi.nlm.nih.gov/34803207/,https://pubmed.ncbi.nlm.nih.gov/34803207 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8594056/,Acute Eosinophilic Pneumonia Following mRNA COVID-19 Vaccination: A Case Report.,"Barrio Piqueras, Miguel; Ezponda, Ana; Felgueroso, Carmen; Urtasun, Cesar; Di Frisco, Isberling Madeleine; Larrache, Javier Carlos; Bastarrika, Gorka; Alcaide, Ana Belén","Department of Radiology, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Radiology, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Pulmonary Medicine, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Radiology, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Pulmonary Medicine, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Radiology, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Radiology, Clínica Universidad de Navarra, Pamplona, Spain.; Department of Pulmonary Medicine, Clínica Universidad de Navarra, Pamplona, Spain.",34803207,PMC8594056,2022-04-01 00:00:00,*COVID-19/prevention & control; *COVID-19 Vaccines/adverse effects; Humans; *Pulmonary Eosinophilia/chemically induced; Vaccination,,Vaccine Publication
,,Acute eosinophilic pneumonia following AstraZeneca vaccination: https://pubmed.ncbi.nlm.nih.gov/34812326/,https://pubmed.ncbi.nlm.nih.gov/34812326 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8604432/,Acute Eosinophilic Pneumonia Associated With the Anti-COVID-19 Vaccine AZD1222.,"Miqdadi, Amal; Herrag, Mohammed","Respiratory Medicine, Cheikh Khalifa Bin Zayed Al Nahyan Hospital, Casablanca, MAR.; Medicine, Mohammed 6 University of Health and Sciences, Casablanca, MAR.; Respiratory Medicine, Cheikh Khalifa Bin Zayed Al Nahyan Hospital, Casablanca, MAR.; Medicine, Mohammed 6 University of Health and Sciences, Casablanca, MAR.",34812326,PMC8604432,2021-10-01 00:00:00,,"SARS-CoV-2 is an emerging virus causing the contemporary global pandemic. No cure has yet been discovered. Therefore, vaccination remains the only hope. We report the case of a 66-year-old male patient with a history of allergies. Five hours after his vaccination with the anti-COVID-19 vaccine AZD1222 (ChAdOx1 nCoV-19, AstraZeneca), he developed acute respiratory distress. The biological assessment showed hyperleukocytosis, 20% of which are eosinophils. Diagnosis of severe postvaccination acute eosinophilic pneumonia was retained given the history of allergy, lack of improvement on antibiotics, elimination of all other probable causes of eosinophilia, and improvement on corticosteroids. Such reactions of eosinophilic pneumonia have only been described twice: once following vaccination with the influenza vaccine (Vaxigrip*) and the other after vaccination with the",Vaccine Publication
,,Pulmonary Embolus following Moderna: https://pubmed.ncbi.nlm.nih.gov/34452028/,https://pubmed.ncbi.nlm.nih.gov/34452028 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8402540/,A Case of Acute Pulmonary Embolus after mRNA SARS-CoV-2 Immunization.,"Wiest, Nathaniel E; Johns, Gretchen S; Edwards, Eric","Department of Internal Medicine, Mayo Clinic, 4500 San Pablo Rd., Jacksonville, FL 32224, USA.; Division of Laboratory Medicine and Pathology, Mayo Clinic, 4500 San Pablo Rd., Jacksonville, FL 32224, USA.; Department of Hospital Internal Medicine, Mayo Clinic, 4500 San Pablo Rd., Jacksonville, FL 32224, USA.",34452028,PMC8402540,2021-08-14 00:00:00,,"Vaccination against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative agent of coronavirus disease 2019 (COVID-19), is a critical strategy to overcome the COVID-19 pandemic. Multiple SARS-CoV-2 vaccines have been developed in a rapid timeframe to combat the pandemic. While generally safe and effective, rare cases of venous thromboembolism (VTE) have been reported after two adenovirus-based vaccines, the AstraZeneca ChAdOx1 nCoV-19 vaccine and the Janssen Ad.26.COV2.S vaccine, as well as after the Pfizer-BioNTech BNT162b2 mRNA vaccine. Here, we present the case of a patient who developed acute pulmonary emboli (PE) shortly after his second dose of the Moderna mRNA-1273",Vaccine Publication
,,2 cases of Pulmonary embolus following AstraZeneca: https://pubmed.ncbi.nlm.nih.gov/34804412/,https://pubmed.ncbi.nlm.nih.gov/34804412 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8604520/,Isolated pulmonary embolism following COVID vaccination: 2 case reports and a review of post-acute pulmonary embolism complications and follow-up.,"Ifeanyi, Nwosu; Chinenye, Nsofor; Oladiran, Oreoluwa; David, Edidiong; Mmonu, Chiamaka; Ogbonna-Nwosu, Chinyere","Internal Medicine, Maimonides Medical Centre, Brooklyn, New York, USA.; Internal Medicine, Milton Keynes University Hospital, UK.; Cardiology, Reading Hospital Tower Health, West Reading, USA.; Harlingen Medical Centre, Texas, USA.; Danferd Specialist Clinic, Port Harcourt, Nigeria.; Federal Teaching Hospital Abakaliki, Nigeria.",34804412,PMC8604520,2021-01-01 00:00:00,,"Acute pulmonary embolism (PE) is a frequent cause of hypoxemic respiratory failure and presentation to the emergency department. The incidence is on the increase since the COVID-19 outbreak. While COVID infection represents a prothrombotic state, the introduction of COVID vaccines to a lesser extent increased the risk of unprovoked venous thrombus formation and risk of pulmonary embolism. PE is mostly associated with deep vein thrombosis (DVT) and only a few cases of isolated or De novo PE exist in literature. We report two cases of isolated PE associated with COVID-19 vaccinations. We aimed to highlight the need to suspect isolated PE in patients presenting with hypoxemic respiratory failure days to several weeks following COVID-19 vaccination and emphasize the importance of post-discharge follow-up for evaluating chronic thromboembolic pulmonary hypertension (CTEPH).",Vaccine Publication

,,Cardiac: ,Cardiac:
,,General:
,,Cardiovascular and hematological events post COVID-19 vaccination: a systemic review: https://pubmed.ncbi.nlm.nih.gov/34967105/,https://pubmed.ncbi.nlm.nih.gov/34967105 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8817142/,Cardiovascular and haematological events post COVID-19 vaccination: A systematic review.,"Al-Ali, Dana; Elshafeey, Abdallah; Mushannen, Malik; Kawas, Hussam; Shafiq, Ameena; Mhaimeed, Narjis; Mhaimeed, Omar; Mhaimeed, Nada; Zeghlache, Rached; Salameh, Mohammad; Paul, Pradipta; Homssi, Moayad; Mohammed, Ibrahim; Narangoli, Adeeb; Yagan, Lina; Khanjar, Bushra; Laws, Sa'ad; Elshazly, Mohamed B; Zakaria, Dalia","Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Weill Cornell Medicine Qatar, Doha, Qatar.; Department of Cardiovascular Medicine, Cleveland Clinic, Cleveland, Ohio, USA.; Weill Cornell Medicine Qatar, Doha, Qatar.",34967105,PMC8817142,2022-02-01 00:00:00,COVID-19/*immunology; COVID-19 Vaccines/*adverse effects/*immunology; Cardiovascular System/*drug effects; Humans; SARS-CoV-2/immunology; Vaccination/*adverse effects,"Since COVID-19 took a strong hold around the globe causing considerable morbidity and mortality, a lot of effort was dedicated to manufacturing effective vaccines against SARS-CoV-2. Many questions have since been raised surrounding the safety of the vaccines, and a lot of media attention to certain side effects. This caused a state of vaccine hesitancy that may prove problematic in the global effort to control the virus. This review was undertaken with the aim of putting together all the reported cardiovascular and haematological events post COVID-19 vaccination in published literature and to suggest possible mechanisms to explain these rare phenomena.",Vaccine Publication
